Customer,Name,Customer Short Name
DSZ088,"SHOWA REGIONAL CENTER (THAILAND) CO.,LTD",SRT
DSZ125,"SHINSEI MOLDING CO.,LTD.",SM
DTH002,"THAI HONDA MANUFACTURING CO.,LTD.",THM
DTH086,"THAI SUZUKI MOTOR CO.,LTD.",TSM
DTI035,"TRI PETCH ISUZU SALES CO.,LTD.",TIS
DTT044,"THAI AUTO WORK CO.,LTD.",TAW
DTT045,"(NO USE)TOYOTA MOTOR ASIA PACIFIC ENGINEERING & MANUFACTURING CO.,LTD.",TMAP-EM
DTT046,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTT047,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTT048,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTT052,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTT058,"(NO USE)TOYOTA MOTOR ASIA PACIFIC ENGINEERING & MANUFACTURING CO.,LTD.",TMAP-EM
DTT071,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTT085,"TRD ASIA CO.,LTD.",TRD
DTT089,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DTZ036,"THAI IKEDA MFG.CO.,LTD.",TIM
DTZ037,"THAI SUMMIT AUTO PARTS INDUSTRY  CO.,LTD.",TSA
DTZ038,"HITACHI AUTOMOTIVE SYSTEMS KORAT,LTD.",HASKT
DTZ039,"JTEKT AUTOMOTIVE (THAILAND) CO., LTD.",JATH
DTZ040,"TOYOTA TSUSHO (THAILAND)CO.,LTD.",TTTC
DTZ041,"TOYOTA TSUSHO (THAILAND)CO.,LTD.",TTTC
DTZ050,"THAI ASAKAWA CO.,LTD.",TAC
DTZ059,"TSA  RUBBER PRODUCT CO.,LTD.",TSA
DTZ064,"TOYOTA BOSHOKU ASIA CO.,LTD.",TBAS
DTZ066,"TOYOTA BOSHOKU GATEWAY (THAILAND) CO.,LTD.",TBGT
DTZ090,"TSTT CO.,LTD",TSTT
DTZ097,"TOYOTSU CHEMIPLAS (THAILAND) CO.,LTD",TCPT
DTZ104,"TC  MANUFACTURING AND ASSEMBLY(THAILAND)CO.,LTD",TCMA
DTZ105,"THAI SUMMIT AUTOMOTIVE CO.,LTD",TSA
DTZ122,"TOYOTA TSUSHO M&E (THAILAND) CO.,LTD.",TTME
DTZ134,"THAI YANG KITPAISAN CO.,LTD.",TYK
DTZ137,"TOYOTETSU (THAILAND) CO.,LTD.",TTTH
DUH001,USUI INTERNATIONAL CORPORATION (THAILAND)LTD.,UICT
DUZ123,"THAI USUI CO.,LTD",TUI
DYZ049,"YOROZU (THAILAND) CO.,LTD",YTC
DYZ061,"YARNAPUND PUBLIC CO.,LTD.",YNP
DYZ081,"YMP PRESS & DIES (THAILAND) CO.,LTD.",YMP
